[10:29:34]: {db.cpp, 279}: dbinit ok 
[10:29:46]: {service.cpp, 490}: load_config() ok 
[14:20:51]: {db.cpp, 279}: dbinit ok 
[14:21:02]: {service.cpp, 490}: load_config() ok 
[14:23:13]: {db.cpp, 279}: dbinit ok 
[14:23:24]: {service.cpp, 490}: load_config() ok 
[15:41:27]: {db.cpp, 279}: dbinit ok 
[15:41:39]: {service.cpp, 490}: load_config() ok 
[15:45:57]: {db.cpp, 279}: dbinit ok 
[15:46:08]: {service.cpp, 490}: load_config() ok 
[15:52:34]: {db.cpp, 279}: dbinit ok 
[15:52:45]: {service.cpp, 490}: load_config() ok 
[15:54:49]: {db.cpp, 279}: dbinit ok 
[15:55:00]: {service.cpp, 490}: load_config() ok 
[18:03:56]: {db.cpp, 279}: dbinit ok 
[18:04:08]: {service.cpp, 490}: load_config() ok 
[19:26:16]: {db.cpp, 279}: dbinit ok 
[19:26:28]: {service.cpp, 490}: load_config() ok 
[19:40:22]: {db.cpp, 279}: dbinit ok 
[19:40:33]: {service.cpp, 490}: load_config() ok 
[19:48:08]: {db.cpp, 279}: dbinit ok 
[19:48:21]: {service.cpp, 490}: load_config() ok 
[19:53:39]: {db.cpp, 279}: dbinit ok 
[19:53:51]: {service.cpp, 490}: load_config() ok 
